agent_budget,cost_usd,created_at,cumulative_cost_usd,effective_boldness,evolution_kind,genotype_lines,goal_id,goal_label,gradient_chars,has_gradient,iteration,n_parents,novelty_score,overall_score,overall_score_uncapped,parent_score,parent_uuids,qd_descriptor,qd_score,scope_band,stagnation,success_rate,uuid,wall_time_s
7,0.4314220608,2026-06-13T21:10:24,5.532651936800002,1.0,mutation,269,09902ec3,clintox,2205,True,10,1,0.4792024945408063,0.5457,0.5457,0.5705,20260613_204431_50814a84,"[-0.015238095238095273, -0.4438095238095238, 0.4133333333333333, 0.15619047619047616, -0.1104761904761905, 0.0]",0.5432188530204798,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.7719784379005431,0.0,20260613_205129_5907f2e4,1201.009
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260613_211130_147f3326,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260613_211818_8882e638,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260613_212040_168f36a7,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260613_212911_54b87926,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260613_213033_93b8f40e,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260613_213308_bfb485dd,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260613_213425_437fa927,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260613_213647_55fa84f0,
6,0.37060652159999996,2026-06-13T21:54:44,5.903258458400002,1.0,mutation,254,09902ec3,clintox,982,True,19,1,0.39972901255620247,0.5171,0.5171,0.5457,20260613_205129_5907f2e4,"[0.024761904761904763, -0.4038095238095238, 0.4533333333333333, -0.0038095238095237627, -0.07047619047619047, 0.0]",0.4989308840926704,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.7830689872304597,0.0,20260613_214015_7221bcdf,890.276
7,0.8616415839999995,2026-06-13T22:06:27,0.8616415839999995,1.0,mutation,161,a5673478,shap_diffusion,1009,True,0,1,1.0,0.848,0.848,0.0,20260512_162504_70ccefbf,"[-0.09696969696969693, 0.0, 0.024242424242424288, 0.16969696969696973, -0.09696969696969693, 0.0]",0.886,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.8190207183361053,0.0,20260613_220123_2bc7250c,1085.094
7,0.7223267847999999,2026-06-13T22:42:17,1.5839683687999995,1.0,seed,138,a5673478,shap_diffusion,1068,True,1,0,0.3055924120531647,0.3716,0.3716,0.0,,"[-0.16507936507936508, -0.16507936507936508, 0.26349206349206344, 0.12063492063492062, -0.05396825396825397, 0.0]",0.35509810301329114,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.8190207183361053,0.0,20260613_221928_5b98ced7,2065.153
7,0.2588977392,2026-06-13T23:02:08,1.8428661079999995,1.0,mutation,209,a5673478,shap_diffusion,1052,True,2,1,0.3185542599748666,0.4865,0.4865,0.848,20260613_220123_2bc7250c,"[-0.22424242424242424, 0.0, 0.1393939393939394, -0.024242424242424232, 0.10909090909090907, 0.0]",0.6148750000000001,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.6049803627861868,0.0,20260613_225353_bf8eaf39,553.343
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260613_230308_213988a3,
7,0.495692832,2026-06-13T23:24:01,2.3385589399999995,1.0,mutation,241,a5673478,shap_diffusion,1465,True,4,1,0.24657853693031903,0.5091,0.5091,0.4865,20260613_225353_bf8eaf39,"[-0.24696969696969695, 0.0, 0.20757575757575758, -0.04696969696969694, 0.08636363636363636, 0.0]",0.5753387650880682,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.5417500469419692,0.0,20260613_230515_279718cb,1204.539
7,0.2839973952,2026-06-13T23:36:57,2.6225563351999996,1.0,crossover,269,a5673478,shap_diffusion,982,True,5,2,0.3402085882010066,0.5361,0.5361,0.4865,20260613_225353_bf8eaf39;20260613_230515_279718cb,"[-0.3242424242424242, 0.0, 0.039393939393939426, 0.27575757575757576, 0.009090909090909094, 0.0]",0.652075,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.5417500469419692,0.0,20260613_232520_4730e0d2,753.884
7,0.14469224800000002,2026-06-13T23:43:39,2.7672485832,1.0,mutation,181,a5673478,shap_diffusion,1107,True,6,1,0.21742918847392909,0.5483,0.5483,0.848,20260613_220123_2bc7250c,"[-0.29696969696969694, 0.0, 0.1575757575757576, 0.10303030303030308, 0.036363636363636376, 0.0]",0.5710013813251127,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.43928092718124395,0.0,20260613_233754_7bf6fc4d,383.478
7,0.354182756,2026-06-14T00:02:42,3.1214313392,1.0,crossover,269,a5673478,shap_diffusion,1435,True,7,2,0.20448193829561387,0.4675,0.4675,0.848,20260613_230515_279718cb;20260613_233754_7bf6fc4d,"[-0.22424242424242424, 0.0, 0.1393939393939394, -0.024242424242424232, 0.10909090909090907, 0.0]",0.5130517768607397,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.43928092718124395,0.0,20260613_234417_1f07b74c,1164.457
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_000342_9e7e2811,
7,0.2189390552,2026-06-14T00:16:38,3.3403703944,1.0,mutation,234,a5673478,shap_diffusion,968,True,9,1,0.2606549414467181,0.3716,0.3716,0.3716,20260613_221928_5b98ced7,"[-0.16507936507936508, -0.16507936507936508, 0.26349206349206344, 0.12063492063492062, -0.05396825396825397, 0.0]",0.4823306022713917,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.524662509560585,0.0,20260614_000431_b6e3482b,846.574
7,0.5077126032,2026-06-14T00:34:23,3.8480829975999997,1.0,crossover,296,a5673478,shap_diffusion,791,True,10,2,0.38557449059932186,0.3879,0.3879,0.3716,20260614_000431_b6e3482b;20260613_232520_4730e0d2,"[-0.2952380952380952, -0.2952380952380952, 0.2761904761904762, 0.2761904761904762, 0.038095238095238126, 0.0]",0.540925,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.524662509560585,0.0,20260614_001840_c091253d,980.151
7,0.3636409544,2026-06-14T00:46:50,4.211723952,1.0,mutation,203,a5673478,shap_diffusion,1332,True,11,1,0.4668295683184625,0.3709,0.3709,0.3716,20260613_221928_5b98ced7,"[-0.2, -0.2, 0.5142857142857142, 0.08571428571428569, -0.2, 0.0]",0.5281750000000001,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.7165225247542062,0.0,20260614_003500_c291c130,770.803
7,0.3671092392,2026-06-14T01:10:44,4.5788331912,1.0,crossover,336,a5673478,shap_diffusion,1035,True,12,2,0.7262395593388699,0.4332,0.4332,0.3716,20260614_001840_c091253d;20260614_003500_c291c130,"[-0.4666666666666667, 0.5333333333333333, 0.10476190476190472, -0.038095238095238126, -0.13333333333333336, 0.0]",0.5749,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.7165225247542062,0.0,20260614_004751_a84c9bee,1596.455
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_011432_914e79cb,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_011914_dab3575f,
4,0.4062875304,2026-06-14T01:36:06,4.9851207216,1.0,crossover,258,a5673478,shap_diffusion,1034,True,15,2,0.5562219557265254,0.4633,0.4633,0.4332,20260613_233754_7bf6fc4d;20260613_234417_1f07b74c,"[-0.29292929292929293, 0.0, 0.43434343434343436, -0.29292929292929293, 0.1515151515151515, 0.0]",0.5389483053900563,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.8523738450474208,0.0,20260614_012158_da54873b,905.765
7,0.33786343760000004,2026-06-14T01:48:08,5.322984159200001,1.0,mutation,337,a5673478,shap_diffusion,825,True,16,1,0.48086634582378224,0.4239,0.4239,0.4633,20260614_012158_da54873b,"[-0.2702020202020202, 0.0, 0.36616161616161613, -0.2702020202020202, 0.1742424242424242, 0.0]",0.48287359743855135,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.9177673094802432,0.0,20260614_013704_9aded7ef,721.937
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_014906_9ad94673,
7,0.4434402952,2026-06-14T02:14:57,5.766424454400001,1.0,mutation,240,a5673478,shap_diffusion,835,True,18,1,0.3829505278084814,0.4015,0.4015,0.3709,20260614_003500_c291c130,"[-0.19365079365079363, -0.19365079365079363, 0.23492063492063492, 0.23492063492063492, -0.08253968253968252, 0.0]",0.43239710753324145,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.8726497160063847,0.0,20260614_015439_e3bf8c09,1278.121
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_021557_057eb744,
6,0.39253865920000003,2026-06-14T02:32:27,6.158963113600001,1.0,crossover,324,a5673478,shap_diffusion,785,True,20,2,0.41237727178739536,0.4883,0.4883,0.4015,20260613_232520_4730e0d2;20260614_012158_da54873b,"[-0.347979797979798, 0.0, 0.28838383838383835, -0.147979797979798, 0.20757575757575758, 0.0]",0.5060269202404847,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.8702693316671584,0.0,20260614_022031_969af799,799.158
7,0.7735682008000002,2026-06-14T02:50:09,0.7735682008000002,1.0,mutation,164,2baa33b1,bulk_modulus,599,True,0,1,1.0,0.8208,0.8208,0.0,20260512_162504_70ccefbf,"[-0.125, 0.25, 0.25, -0.5, 0.125, 0.0]",0.8655999999999999,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.8821650809711878,0.0,20260614_023947_c211bbb4,1214.289
7,0.01731422,2026-06-14T03:01:21,0.7908824208000003,1.0,seed,59,2baa33b1,bulk_modulus,0,False,1,0,,0.0,0.0,0.0,,[],,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.8821650809711878,0.0,20260614_030001_18894a17,79.608
7,0.2353006184,2026-06-14T03:15:48,1.0261830392000002,1.0,mutation,275,2baa33b1,bulk_modulus,835,True,2,1,0.37080992435478316,0.7275,0.7275,0.8208,20260614_023947_c211bbb4,"[-0.22499999999999998, 0.275, 0.275, -0.22499999999999998, -0.09999999999999998, 0.0]",0.6383274810886959,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.7219397409094704,0.0,20260614_030121_4acaadbc,912.999
7,0.21550210239999998,2026-06-14T03:30:37,1.2416851416,1.0,mutation,335,2baa33b1,bulk_modulus,1120,True,3,1,0.9601418393588039,0.7663,0.7663,0.7275,20260614_030121_4acaadbc,"[0.050000000000000044, -0.575, 0.42500000000000004, -0.07499999999999996, 0.17500000000000004, 0.0]",0.8247249999999999,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.6146023124456403,0.0,20260614_031635_e96b96b7,885.736
7,0.2918516888,2026-06-14T03:52:23,1.5335368304,1.0,crossover,375,2baa33b1,bulk_modulus,1038,True,4,2,0.5208433758861352,0.8622,0.8622,0.7275,20260614_030121_4acaadbc;20260614_031635_e96b96b7,"[-0.19999999999999996, 0.17500000000000004, 0.17500000000000004, -0.07499999999999996, -0.07499999999999996, 0.0]",0.7822662585920538,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.6146023124456403,0.0,20260614_033121_729981f3,1331.092
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_035332_0347f67e,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_035549_bd8a05d0,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_035840_6af80008,
5,0.163723536,2026-06-14T04:10:41,1.6972603664,0.5471545308828354,crossover,329,2baa33b1,bulk_modulus,1305,True,8,2,0.8073498904300478,0.77,0.77,0.8622,20260614_023947_c211bbb4;20260614_033121_729981f3,"[0.0, -0.625, 0.375, 0.125, 0.125, 0.0]",0.7948170312027258,"ADAPTATION (Component Overhaul):
- Objective: Major behavioral adjustment to fix localized stagnation.
- Scope: Completely rewrite the system prompts of lagging or failing agents. Swap, add, or deprecate specific tools.
- Invariance: Maintain the structural routing/topology of the multi-agent graph.
- Strategy: Retain the overall workflow architecture, but radically re-engineer how individual nodes think and execute.",0.5471545308828354,0.2,20260614_040117_f815a4e2,611.917
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_041130_919cfba0,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_041423_13b8a4d4,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_041600_3a453539,
3,0.32949834240000003,2026-06-14T04:38:54,2.0267587088,0.5712898274262745,crossover,381,2baa33b1,bulk_modulus,1216,True,12,2,0.4913914637316643,0.8622,0.8622,0.77,20260614_033121_729981f3;20260614_031635_e96b96b7,"[-0.19999999999999996, 0.17500000000000004, 0.17500000000000004, -0.07499999999999996, -0.07499999999999996, 0.0]",0.7988118661117043,"ADAPTATION (Component Overhaul):
- Objective: Major behavioral adjustment to fix localized stagnation.
- Scope: Completely rewrite the system prompts of lagging or failing agents. Swap, add, or deprecate specific tools.
- Invariance: Maintain the structural routing/topology of the multi-agent graph.
- Strategy: Retain the overall workflow architecture, but radically re-engineer how individual nodes think and execute.",0.5712898274262745,0.2,20260614_041941_2ab70dc1,1198.073
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_043939_a74d5cbd,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_044110_7dfd9c61,
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_044606_4242e3ad,
6,0.2733654184,2026-06-14T05:01:52,2.3001241272,0.5900891025861105,crossover,441,2baa33b1,bulk_modulus,1211,True,16,2,0.6873044587866844,0.7977,0.7977,0.8622,20260614_040117_f815a4e2;20260614_041941_2ab70dc1,"[0.0, -0.625, 0.375, 0.125, 0.125, 0.0]",0.8066083333333334,"ADAPTATION (Component Overhaul):
- Objective: Major behavioral adjustment to fix localized stagnation.
- Scope: Completely rewrite the system prompts of lagging or failing agents. Swap, add, or deprecate specific tools.
- Invariance: Maintain the structural routing/topology of the multi-agent graph.
- Strategy: Retain the overall workflow architecture, but radically re-engineer how individual nodes think and execute.",0.5900891025861105,0.2,20260614_044751_c39ce7a5,884.906
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_050236_2048a66d,
6,0.5166879592,2026-06-14T05:32:52,2.8168120864,0.5900891025861105,crossover,473,2baa33b1,bulk_modulus,745,True,18,2,0.5856497259694918,0.7663,0.7663,0.8622,20260614_044751_c39ce7a5;20260614_041941_2ab70dc1,"[0.050000000000000044, -0.575, 0.42500000000000004, -0.07499999999999996, 0.17500000000000004, 0.0]",0.7705199085070811,"ADAPTATION (Component Overhaul):
- Objective: Major behavioral adjustment to fix localized stagnation.
- Scope: Completely rewrite the system prompts of lagging or failing agents. Swap, add, or deprecate specific tools.
- Invariance: Maintain the structural routing/topology of the multi-agent graph.
- Strategy: Retain the overall workflow architecture, but radically re-engineer how individual nodes think and execute.",0.5900891025861105,0.2,20260614_050324_d03f3aa5,1802.816
6,0.5530647592,2026-06-14T05:57:18,3.3698768456000003,0.7005924847390915,mutation,540,2baa33b1,bulk_modulus,947,True,19,1,0.5434291938087608,0.7977,0.7977,0.7663,20260614_050324_d03f3aa5,"[0.0, -0.625, 0.375, 0.125, 0.125, 0.0]",0.7728193814552045,"EXPLORATION (Macro Structural Mutation):
- Objective: Break out of a severe local minimum or chronic structural failure.
- Scope: Mutate the graph topology. Add a new specialized agent, merge two redundant agents, or change the routing logic.
- Invariance: Keep the fundamental task goal, but completely change the operational workflow.
- Strategy: Restructure the cognitive pipeline. Introduce parallel processing, voting consensus, or multi-step validation loops.",0.7005924847390915,0.2,20260614_053327_5381b9b3,1466.502
,,,,,,0,unknown,unknown,0,False,,0,,,,,,null,,,,,20260614_060324_b48c5948,
7,0.9825006920000001,2026-06-14T06:32:28,0.9825006920000001,1.0,seed,92,d42610a2,elk_homerange,939,True,1,0,1.0,0.8157,0.8157,0.0,,"[0.35, -0.15000000000000002, 0.09999999999999998, -0.15000000000000002, -0.15000000000000002, 0.0]",0.861775,"RE-SPECIATION (Systemic Paradigm Shift):
- Objective: The current evolutionary branch is a dead end. Escape entirely.
- Scope: Clean-slate redesign of the multi-agent architecture.
- Invariance: None. Only the core task description and learned constraints/task specifications remain constant.
- Strategy: Rethink the entire approach. If it was a sequential pipeline, turn it into an autonomous swarm. If it was highly fragmented, design a single ultra-dense prompt. Radical experimentation.",0.7981810602876873,0.0,20260614_060829_fb77e635,1948.29
